EPSG,ESRI,Oracle
ST87_Ouvea,D_ST87_Ouvea,
St_George_Island,,
St_Kitts_1955,D_St_Kitts_1955,
St_Lawrence_Island,D_St_Lawrence_Island,
St_Lucia_1955,D_St_Lucia_1955,
Stockholm_1938,D_Stockholm_1938,
Stockholm_1938_Stockholm,,
St_Paul_Island,D_St_Paul_Island,
,D_Struve_1860,
St_Vincent_1945,D_St_Vincent_1945,
Sudan,D_Sudan,
SWEREF99,D_SWEREF99,
Swiss_Terrestrial_Reference_Frame_1995,D_Swiss_TRF_1995,
Tahaa,D_Tahaa,
Tahiti,D_Tahiti,
Tananarive_1925,D_Tananarive_1925,
,D_Tern_Island_1961,
Tananarive_1925_Paris,,
Tete,D_Tete,
,D_Tethys_2000,
,D_Thalassa_2000,
,D_Thebe_2000,
Timbalai_1948,D_Timbalai_1948,Timbalai 1948
,D_Titan_2000,
,D_Titania_2000,
TM65,D_TM65,
,D_TM75,
Tokyo,D_Tokyo,Tokyo
Tokyo Datum,,
Trinidad_1903,D_Trinidad_1903,
,D_Tristan_1968,Tristan Astro 1968
Trucial_Coast_1948,D_Trucial_Coast_1948,
,D_Uranus_2000,
,D_Venus_2000,
,D_Viti_Levu_1916,Viti Levu 1916
Voirol_1875,D_Voirol_1875,
Voirol_1875_Paris,,
Voirol_1879,,
Voirol_1879_Paris,,
,D_Voirol_Unifie_1960,
,D_Wake_Eniwetok_1960,Wake-Eniwetok 1960
,,WGS 60
,,WGS 66
WGS_1972,D_WGS_1972,WGS 72
WGS_1972_Transit_Broadcast_Ephemeris,D_WGS_1972_BE,
WGS_1984,D_WGS_1984,WGS 84
Xian_1980,D_Xian_1980,
Yacare,D_Yacare,Yacare
Yemen_National_Geodetic_Network_1996,D_Yemen_NGN_1996,
Yoff,D_Yoff,
Zanderij,D_Zanderij,Zanderij
